Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1697155858,MACOS,Airport,,,,eduroam,a8:9d:21:5c:c2:f0,,5GHz,1,-64,20,-85,,
1697155858,MACOS,Airport,,,,Global_Students,f0:9e:63:14:94:ac,,2.4GHz,132,-91,40,-95,,
1697155858,MACOS,Airport,,,,Global_Students,a0:0f:37:4c:9f:8d,,2.4GHz,108,-92,40,-93,,
1697155858,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:54:cc,,2.4GHz,36,-82,40,-96,,
1697155858,MACOS,Airport,,,,HA Staff,82:45:58:22:06:91,,2.4GHz,44,-89,40,-93,,
1697155858,MACOS,Airport,,,,UNSW Guest,a0:0f:37:4c:09:ec,,2.4GHz,132,-82,40,-93,,
1697155858,MACOS,Airport,,,,uniwide,08:cc:68:b4:58:11,,5GHz,6,-83,20,-85,,
1697155858,MACOS,Airport,,,,uniwide,1c:e6:c7:3e:60:c7,,2.4GHz,64,-89,40,-93,,
1697155858,MACOS,Airport,,,,Global_Students,08:cc:68:b4:58:14,,5GHz,6,-77,20,-84,,
1697155858,MACOS,Airport,,,,eduroam,08:cc:68:b4:5f:df,,2.4GHz,44,-80,40,-95,,
1697155858,MACOS,Airport,,,,Global_Students,a0:0f:37:4c:7b:0d,,2.4GHz,108,-83,40,-93,,
1697155858,MACOS,Airport,,,,Warrane Guest,86:45:58:1e:f8:ff,,2.4GHz,40,-86,40,-92,,
1697155858,MACOS,Airport,,,,uniwide,d0:72:dc:53:5d:4e,,2.4GHz,132,-90,40,-95,,
1697155858,MACOS,Airport,,,,Warrane Staff,7e:45:58:22:06:91,,2.4GHz,44,-89,40,-93,,
1697155858,MACOS,Airport,,,,eduroam,a0:0f:37:4c:9f:8e,,2.4GHz,108,-92,40,-93,,
1697155858,MACOS,Airport,,,,HA Staff,26:5a:4c:a5:79:fe,,2.4GHz,40,-90,40,-92,,
1697155858,MACOS,Airport,,,,eduroam,08:cc:68:b4:ac:ff,,2.4GHz,36,-91,40,-96,,
1697155858,MACOS,Airport,,,,Global_Students,7c:0e:ce:dc:5d:0c,,2.4GHz,52,-86,40,-95,,
1697155858,MACOS,Airport,,,,Warrane Guest,26:5a:4c:b5:79:fe,,2.4GHz,40,-91,40,-92,,
1697155858,MACOS,Airport,,,,eduroam,a8:9d:21:5c:c2:ff,,2.4GHz,132,-69,40,-93,,
1697155858,MACOS,Airport,,,,uniwide,a8:9d:21:5c:c2:fe,,2.4GHz,132,-68,40,-93,129.94.8.23,8.995
1697155858,MACOS,Airport,,,,eduroam,7c:0e:ce:dc:5d:00,,5GHz,6,-70,20,-85,,
1697155858,MACOS,Airport,,,,Global_Students,1c:e6:c7:3e:60:cd,,2.4GHz,64,-90,40,-93,,
1697155858,MACOS,Airport,,,,eduroam,a8:9d:21:5f:51:fe,,2.4GHz,52,-90,40,-95,,
1697155858,MACOS,Airport,,,,Warrane Staff,7e:45:58:1e:f0:a1,,2.4GHz,40,-85,40,-93,,
1697155858,MACOS,Airport,,,,uniwide,a0:0f:37:4c:09:ef,,2.4GHz,132,-82,40,-93,,
1697155858,MACOS,Airport,,,,UNSW Guest,a8:9d:21:5c:c2:f3,,5GHz,1,-65,20,-85,,
1697155858,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:3e:60:c4,,2.4GHz,64,-89,40,-93,,
1697155858,MACOS,Airport,,,,UNSW Guest,a8:9d:21:5c:c2:fc,,2.4GHz,132,-68,40,-93,,
1697155858,MACOS,Airport,,,,uniwide,7c:0e:ce:dc:5d:01,,5GHz,6,-70,20,-85,,
1697155858,MACOS,Airport,,,,LSA Screen Control LR,78:45:58:45:c1:5d,,2.4GHz,149,-73,40,-94,,
1697155858,MACOS,Airport,,,,uniwide,08:cc:68:b5:c7:ee,,2.4GHz,132,-90,40,-95,,
1697155858,MACOS,Airport,,,,eduroam,d0:72:dc:53:5d:4f,,2.4GHz,132,-88,40,-95,,
1697155858,MACOS,Airport,,,,Warrane Staff,78:45:58:1d:f4:ae,,5GHz,6,-85,20,-84,,
1697155858,MACOS,Airport,,,,eduroam,08:cc:68:b5:e9:0f,,2.4GHz,36,-89,40,-96,,
1697155858,MACOS,Airport,,,,Warrane Guest,86:45:58:1e:fb:e8,,2.4GHz,36,-92,40,-94,,
