SSID,BSSID,Protocol
'UNSW Guest',f0:9e:63:14:7b:22,802.11n
'UNSW Guest',f0:9e:63:14:7d:22,802.11n
'UNSW Guest',f0:9e:63:14:8e:e2,802.11n
'UNSW Guest',f0:9e:63:14:8e:ed,802.11n
'UNSW Guest',f0:9e:63:14:94:a2,802.11n
'UNSW Guest',f0:9e:63:14:94:ad,802.11n
'UNSW Guest',f0:9e:63:14:95:42,802.11n
'UNSW Guest',f0:9e:63:14:a9:22,802.11n
'UNSW Guest',f0:9e:63:14:a9:2d,802.11n
'UNSW Guest',f0:9e:63:14:ab:02,802.11n
'UNSW Guest',f0:9e:63:14:ab:0d,802.11n
'UNSW Guest',f0:9e:63:14:ad:2d,802.11n
'UNSW Guest',f0:9e:63:14:b0:c2,802.11n
'UNSW Guest',f0:9e:63:14:b0:cd,802.11n
'UNSW Guest',f0:9e:63:1d:bf:02,802.11n
'UNSW Guest',f0:9e:63:1d:bf:0d,802.11n
'UNSW Guest',f0:9e:63:1d:ca:c2,802.11n
'UNSW Guest',f0:9e:63:1d:ca:cd,802.11n
'UNSW Guest',f0:9e:63:1d:e4:22,802.11n
'UNSW Guest',f0:9e:63:1d:fb:42,802.11n
'Warrane Guest',82:45:58:21:05:d4,802.11n
'Warrane Guest',82:45:58:21:18:f3,802.11n
'Warrane Guest',82:45:58:21:19:9e,802.11n
'Warrane Staff',78:45:58:21:18:b7,802.11n
'Warrane Staff',78:45:58:21:19:9e,802.11n
<HIDDEN>,08:cc:68:b4:54:cd,802.11ac
<HIDDEN>,08:cc:68:b4:7f:72,802.11n
<HIDDEN>,08:cc:68:b4:9e:3a,802.11ac
<HIDDEN>,08:cc:68:b4:9e:3d,802.11ac
<HIDDEN>,08:cc:68:b4:ac:fd,802.11ac
<HIDDEN>,08:cc:68:b5:96:0a,802.11ac
<HIDDEN>,1c:e6:c7:e0:1f:25,802.11n
<HIDDEN>,26:5a:4c:d5:79:fe,802.11ac
<HIDDEN>,86:45:58:1d:f0:a1,802.11n
<HIDDEN>,86:45:58:21:19:4a,802.11n
<HIDDEN>,8a:45:58:1d:f0:a1,802.11n
<HIDDEN>,8a:45:58:1e:f0:a1,802.11ac
<HIDDEN>,8a:45:58:1e:f4:ae,802.11ac
<HIDDEN>,8a:45:58:1e:f8:ff,802.11ac
<HIDDEN>,8a:45:58:21:15:da,802.11n
<HIDDEN>,8a:45:58:21:19:4a,802.11n
<HIDDEN>,8e:45:58:1e:f0:a1,802.11ac
<HIDDEN>,8e:45:58:1e:f4:ae,802.11ac
<HIDDEN>,8e:45:58:1e:f8:ff,802.11ac
<HIDDEN>,8e:45:58:1e:fb:e8,802.11ac
<HIDDEN>,a0:0f:37:4c:7b:04,802.11n
<HIDDEN>,a0:0f:37:4c:7b:05,802.11n
<HIDDEN>,a8:9d:21:5c:c2:f5,802.11n
<HIDDEN>,d0:72:dc:53:60:8d,802.11ac
'AC12-5G',a4:2b:8c:57:10:a5,802.11n
'AC99-5G',94:a6:7e:b2:bf:4d,802.11ac
'DIRECT-76-HP M252 LaserJet',36:68:95:5a:52:76,802.11n
'eduroam',08:cc:68:b4:54:cf,802.11ac
'eduroam',08:cc:68:b4:7f:7f,802.11ac
'eduroam',1c:e6:c7:3e:da:bf,802.11n
'eduroam',1c:e6:c7:5b:89:31,802.11n
'eduroam',a0:0f:37:4c:7b:0e,802.11ac
'eduroam',a0:0f:37:4c:9f:8e,802.11ac
'Global_Students',08:cc:68:b4:54:cb,802.11ac
'Global_Students',08:cc:68:b4:9e:3b,802.11ac
'Global_Students',08:cc:68:b4:ac:fb,802.11ac
'Global_Students',08:cc:68:b5:96:0b,802.11ac
'Global_Students',1c:e6:c7:3e:da:bb,802.11n
'Global_Students',a0:0f:37:4c:7b:0d,802.11ac
'Global_Students',a0:0f:37:4c:9f:8d,802.11ac
'Global_Students',a8:9d:21:5c:c2:f4,802.11n
'HA Staff',7e:45:58:1d:f0:a1,802.11n
'HA Staff',7e:45:58:1d:f6:ef,802.11n
'HA Staff',82:45:58:1e:f0:a1,802.11ac
'HA Staff',82:45:58:1e:f4:ae,802.11ac
'HA Staff',82:45:58:1e:f8:ff,802.11ac
'LSA Screen Control LR',78:45:58:44:c1:5d,802.11n
'NETGEAR56-5G',10:7b:44:c4:22:44,802.11ac
'TVW-1120_520394247',02:11:87:c1:d8:6f,802.11g
'uniwide',08:cc:68:b4:54:ce,802.11ac
'uniwide',08:cc:68:b4:58:11,802.11n
'uniwide',08:cc:68:b4:5a:1e,802.11ac
'uniwide',08:cc:68:b4:9e:3e,802.11ac
'uniwide',08:cc:68:b4:ac:fe,802.11ac
'uniwide',08:cc:68:b5:91:fe,802.11ac
'uniwide',a0:0f:37:4c:7b:0f,802.11ac
'uniwide',a8:9d:21:5c:c2:f1,802.11n
'UNSW Guest',08:cc:68:b4:9e:3c,802.11ac
'UNSW Guest',a0:0f:37:4c:7b:03,802.11n
'UNSW Guest',a0:0f:37:4c:7b:0c,802.11ac
'UNSW Guest',a0:0f:37:4c:9f:8c,802.11ac
'UNSW Guest',a8:9d:21:5c:c2:f3,802.11n
'Warrane Guest',82:45:58:1d:f0:a1,802.11n
'Warrane Guest',82:45:58:21:19:76,802.11n
'Warrane Guest',86:45:58:1e:f0:a1,802.11ac
'Warrane Guest',86:45:58:1e:f4:ae,802.11ac
'Warrane Guest',86:45:58:1e:f8:ff,802.11ac
'Warrane Staff',78:45:58:1d:f0:a1,802.11n
'Warrane Staff',7e:45:58:1e:f0:a1,802.11ac
'Warrane Staff',7e:45:58:1e:f4:ae,802.11ac
'Warrane Staff',7e:45:58:1e:f8:ff,802.11ac
'Yarraton-RS',78:45:58:1d:f6:ef,802.11n
<HIDDEN>,08:cc:68:b4:58:12,802.11n
<HIDDEN>,08:cc:68:b4:5a:1a,802.11ac
<HIDDEN>,1c:e6:c7:3e:61:c3,802.11ac
<HIDDEN>,1c:e6:c7:3e:da:bd,802.11n
<HIDDEN>,1c:e6:c7:e0:1f:2a,802.11n
<HIDDEN>,1c:e6:c7:e0:1f:2d,802.11n
<HIDDEN>,7c:0e:ce:dc:5d:0b,802.11ac
<HIDDEN>,86:45:58:1d:f4:ae,802.11n
<HIDDEN>,86:45:58:1d:f6:ef,802.11n
<HIDDEN>,8a:45:58:1d:f4:ae,802.11n
<HIDDEN>,8a:45:58:1d:f8:ff,802.11n
<HIDDEN>,8a:45:58:21:04:01,802.11n
<HIDDEN>,8a:45:58:21:18:f3,802.11n
<HIDDEN>,8a:45:58:21:19:76,802.11n
<HIDDEN>,a0:0f:37:4c:7b:0b,802.11ac
<HIDDEN>,a8:9d:21:5c:c2:f2,802.11n
<HIDDEN>,a8:9d:21:5f:51:fa,802.11ac
<HIDDEN>,c2:a5:11:3d:fb:4e,802.11ac
<HIDDEN>,c2:a5:11:97:5f:06,802.11ac
<HIDDEN>,f0:9e:63:14:7a:c4,802.11n
<HIDDEN>,f0:9e:63:1d:ca:24,802.11n
<HIDDEN>,f0:9e:63:1d:ca:25,802.11n
'AT_401_RAC_056905_WW_0b7c',26:e8:53:38:0b:7c,802.11n
'AT_401_RAC_056905_WW_0bd4',26:e8:53:38:0b:d4,802.11n
'AT_401_RAC_056905_WW_7a93',de:03:98:c7:7a:93,802.11n
'AT_401_RAC_056905_WW_9206',de:03:98:c7:92:06,802.11n
'AT_401_RAC_056905_WW_bc39',de:03:98:d5:bc:39,802.11n
'AT_401_RAC_056905_WW_c120',de:03:98:d5:c1:20,802.11n
'eduroam',08:cc:68:b4:58:10,802.11n
'eduroam',08:cc:68:b4:9e:3f,802.11ac
'eduroam',1c:e6:c7:3e:60:c6,802.11ac
'eduroam',1c:e6:c7:3e:61:c6,802.11ac
'eduroam',1c:e6:c7:e0:1f:2f,802.11n
'Global_Students',1c:e6:c7:3e:60:c5,802.11ac
'Global_Students',1c:e6:c7:3e:60:cd,802.11n
'Global_Students',1c:e6:c7:3e:61:c5,802.11ac
'Global_Students',7c:0e:ce:de:50:d3,802.11n
'Global_Students',f0:9e:63:14:7a:c3,802.11n
'Global_Students',f0:9e:63:1d:ca:23,802.11n
'Global_Students',f0:9e:63:1d:f2:cc,802.11n
'Guest-Shalom',84:18:3a:98:5c:28,802.11n
'HA Staff',7e:45:58:1d:fb:e8,802.11n
'HA Staff',7e:45:58:21:06:91,802.11n
'HA Staff',7e:45:58:21:19:4a,802.11n
'ORBI93',bc:a5:11:97:5f:06,802.11ac
'ORBI93',c2:a5:11:97:5f:04,802.11ac
'Shalom-staff',84:18:3a:d8:04:18,802.11n
'Shalom-staff',84:18:3a:d8:5c:28,802.11n
'Superloop-ShalomCollege-2.4ghz',84:18:3a:18:4e:79,802.11n
'uniwide',1c:e6:c7:3e:da:be,802.11n
'uniwide',1c:e6:c7:e0:1f:2e,802.11n
'uniwide',7c:0e:ce:de:50:d1,802.11n
'uniwide',a8:9d:21:5f:4c:9e,802.11ac
'uniwide',f0:9e:63:14:94:4e,802.11n
'uniwide',f0:9e:63:1d:f9:0e,802.11n
'UNSW Guest',08:cc:68:b4:5a:1c,802.11ac
'UNSW Guest',08:cc:68:b4:8d:7c,802.11ac
'UNSW Guest',1c:e6:c7:3e:60:c4,802.11ac
'UNSW Guest',1c:e6:c7:3e:61:c4,802.11ac
'UNSW Guest',1c:e6:c7:3e:da:bc,802.11n
'UNSW Guest',1c:e6:c7:e0:1f:2c,802.11n
'UNSW Guest',7c:0e:ce:de:50:d2,802.11n
'UNSW Guest',a0:0f:37:4c:09:e3,802.11n
'UNSW Guest',a8:9d:21:5f:4c:9d,802.11ac
'UNSW Guest',f0:9e:63:14:7a:c2,802.11n
'UNSW Guest',f0:9e:63:1d:ca:22,802.11n
'Warrane Guest',82:45:58:1d:fb:e8,802.11n
'Warrane Guest',82:45:58:21:19:4a,802.11n
'Warrane Staff',78:45:58:21:19:4a,802.11n
<HIDDEN>,08:cc:68:b4:54:ca,802.11ac
<HIDDEN>,08:cc:68:b4:5a:1d,802.11ac
<HIDDEN>,08:cc:68:b4:7f:7d,802.11ac
<HIDDEN>,08:cc:68:b4:ac:fa,802.11ac
<HIDDEN>,1c:e6:c7:3e:60:c2,802.11ac
<HIDDEN>,1c:e6:c7:3e:60:c3,802.11ac
<HIDDEN>,1c:e6:c7:5b:89:3a,802.11n
<HIDDEN>,1c:e6:c7:f0:1b:d5,802.11ac
<HIDDEN>,32:de:4b:ac:4e:4e,802.11ac
<HIDDEN>,8a:45:58:1e:ea:02,802.11ac
<HIDDEN>,8a:45:58:1e:fb:e8,802.11ac
<HIDDEN>,8a:45:58:22:06:91,802.11ac
<HIDDEN>,8a:45:58:22:18:f3,802.11ac
<HIDDEN>,8e:45:58:1e:ea:02,802.11ac
<HIDDEN>,8e:45:58:22:06:91,802.11ac
<HIDDEN>,8e:45:58:22:18:f3,802.11ac
<HIDDEN>,f0:9e:63:14:76:ab,802.11n
<HIDDEN>,f0:9e:63:14:89:64,802.11n
<HIDDEN>,f0:9e:63:14:89:65,802.11n
<HIDDEN>,f0:9e:63:1d:f2:ca,802.11n
<HIDDEN>,f0:9e:63:1d:f2:cb,802.11n
<HIDDEN>,f0:9e:63:1d:f9:0b,802.11n
<HIDDEN>,f0:9e:63:1d:ff:0a,802.11n
<HIDDEN>,f0:9e:63:1d:ff:0b,802.11n
'_Superloop-NewCollege5Ghz',d8:38:fc:df:10:bc,802.11ac
'eduroam',08:cc:68:b4:ac:ff,802.11ac
'eduroam',08:cc:68:b5:91:ff,802.11ac
'eduroam',08:cc:68:b5:c7:ef,802.11ac
'eduroam',1c:e6:c7:5b:89:3e,802.11n
'eduroam',f0:9e:63:14:89:60,802.11n
'eduroam',f0:9e:63:14:a2:ef,802.11n
'eduroam',f0:9e:63:1d:ff:0f,802.11n
'Global_Students',08:cc:68:b4:7f:7b,802.11ac
'Global_Students',08:cc:68:b4:92:2b,802.11ac
'Global_Students',08:cc:68:b5:91:fb,802.11ac
'Global_Students',08:cc:68:b5:c7:eb,802.11ac
'Global_Students',f0:9e:63:14:89:63,802.11n
'Global_Students',f0:9e:63:14:a2:ec,802.11n
'Global_Students',f0:9e:63:1d:f9:0c,802.11n
'Global_Students',f0:9e:63:1d:ff:0c,802.11n
'Guest-Shalom',24:c9:a1:ab:e3:ac,802.11n
'Guest-Shalom',6c:aa:b3:84:55:3c,802.11n
'Guest-Shalom',84:18:3a:98:04:1c,802.11n
'Guest-Shalom',84:18:3a:98:2f:dc,802.11n
'Guest-Shalom',84:18:3a:98:5c:2c,802.11n
'Guest-Shalom',84:18:3a:98:5f:1c,802.11n
'Guest-Shalom',84:18:3a:98:5f:5c,802.11n
'Guest-Shalom',84:18:3a:98:ac:7c,802.11n
'Guest-Shalom',84:18:3a:98:d7:0c,802.11n
'HA Staff',82:45:58:1e:fb:e8,802.11ac
'HA Staff',82:45:58:22:06:91,802.11ac
'HA Staff',82:45:58:22:18:f3,802.11ac
'HA Staff',82:45:58:22:19:9e,802.11ac
'Shalom-staff',24:c9:a1:eb:e3:ac,802.11n
'Shalom-staff',6c:aa:b3:c4:55:3c,802.11n
'Shalom-staff',84:18:3a:d8:04:1c,802.11n
'Shalom-staff',84:18:3a:d8:5c:2c,802.11n
'Shalom-staff',84:18:3a:d8:5f:1c,802.11n
'Shalom-staff',84:18:3a:d8:5f:5c,802.11n
'Shalom-staff',84:18:3a:d8:ac:7c,802.11n
'Shalom-staff',84:18:3a:d8:d7:0c,802.11n
'Superloop-New College',d8:38:fc:1f:10:bc,802.11ac
'Superloop-ShalomCollege',24:c9:a1:2b:e3:ad,802.11n
'Superloop-ShalomCollege',6c:aa:b3:04:55:3d,802.11n
'Superloop-ShalomCollege',84:18:3a:18:04:1d,802.11n
'Superloop-ShalomCollege',84:18:3a:18:5c:2d,802.11n
'Superloop-ShalomCollege',84:18:3a:18:5f:1d,802.11n
'Superloop-ShalomCollege',84:18:3a:18:5f:5d,802.11n
'Superloop-ShalomCollege',84:18:3a:18:ac:7d,802.11n
'Superloop-ShalomCollege',84:18:3a:18:b2:ed,802.11n
'Superloop-ShalomCollege',84:18:3a:18:d7:0d,802.11n
'uniwide',08:cc:68:b4:7f:7e,802.11ac
'uniwide',1c:e6:c7:3e:60:cf,802.11n
'uniwide',f0:9e:63:14:76:ae,802.11n
'uniwide',f0:9e:63:1d:f2:ce,802.11n
'uniwide',f0:9e:63:1d:ff:0e,802.11n
'UNSW Guest',08:cc:68:b4:54:cc,802.11ac
'UNSW Guest',08:cc:68:b5:c7:ec,802.11ac
'UNSW Guest',1c:e6:c7:5b:89:3c,802.11n
'UNSW Guest',1c:e6:c7:f0:1b:d4,802.11ac
'UNSW Guest',f0:9e:63:14:76:ad,802.11n
'UNSW Guest',f0:9e:63:1d:f2:cd,802.11n
'UNSW Guest',f0:9e:63:1d:ff:0d,802.11n
'Warrane Guest',86:45:58:1e:ea:02,802.11ac
'Warrane Guest',86:45:58:1e:fb:e8,802.11ac
'Warrane Guest',86:45:58:22:06:91,802.11ac
'Warrane Guest',86:45:58:22:18:f3,802.11ac
'Warrane Staff',7e:45:58:1e:ea:02,802.11ac
'Warrane Staff',7e:45:58:1e:fb:e8,802.11ac
'Warrane Staff',7e:45:58:22:06:91,802.11ac
'Warrane Staff',7e:45:58:22:18:f3,802.11ac
'Warrane Staff',7e:45:58:22:19:9e,802.11ac
<HIDDEN>,08:cc:68:b4:92:2d,802.11ac
<HIDDEN>,08:cc:68:b5:91:fa,802.11ac
<HIDDEN>,08:cc:68:b5:91:fd,802.11ac
<HIDDEN>,1c:e6:c7:3e:da:ba,802.11n
<HIDDEN>,86:45:58:1d:f3:9f,802.11n
<HIDDEN>,86:45:58:21:00:17,802.11n
<HIDDEN>,86:45:58:21:06:91,802.11n
<HIDDEN>,86:45:58:21:15:da,802.11n
<HIDDEN>,8a:45:58:1d:fb:e8,802.11n
<HIDDEN>,8e:45:58:1e:ff:f6,802.11ac
<HIDDEN>,92:45:58:1e:ff:f6,802.11ac
<HIDDEN>,94:a6:7e:57:21:66,802.11ax
<HIDDEN>,a8:9d:21:5f:51:f5,802.11n
<HIDDEN>,a8:9d:21:5f:51:fb,802.11ac
<HIDDEN>,c6:9e:38:70:b8:95,802.11ac
'_Superloop-NewCollege5Ghz',d8:38:fc:cb:22:ec,802.11ac
'AT_401_RAC_056905_WW_1ece',26:e8:53:38:1e:ce,802.11n
'AT_401_RAC_056905_WW_2275',26:e8:53:38:22:75,802.11n
'AT_401_RAC_056905_WW_866b',fa:b9:5a:cb:86:6b,802.11n
'AT_401_RAC_056905_WW_91f4',de:03:98:c7:91:f4,802.11n
'eduroam',08:cc:68:b4:92:2f,802.11ac
'eduroam',a8:9d:21:5f:51:f1,802.11n
'eduroam',a8:9d:21:5f:51:fe,802.11ac
'Global_Students',08:cc:68:b4:52:2b,802.11ac
'Global_Students',a8:9d:21:5f:51:f2,802.11n
'Global_Students',a8:9d:21:5f:51:fd,802.11ac
'Guest-Shalom',84:18:3a:98:d7:08,802.11n
'Guest-Shalom',e0:10:7f:9c:3e:ec,802.11n
'HA Staff',26:5a:4c:95:79:fd,802.11n
'HA Staff',7e:45:58:1d:f3:9f,802.11n
'HA Staff',7e:45:58:1d:f4:ae,802.11n
'HA Staff',7e:45:58:21:05:d4,802.11n
'HA Staff',82:45:58:1e:ff:f6,802.11ac
'NC Admin',d8:38:fc:4b:22:ec,802.11ac
'Print',8a:45:58:1e:ff:f6,802.11ac
'Recover.Me-1C3EE0',e0:10:7f:5c:3e:e7,802.11n
'SDN',fa:9e:38:70:b8:95,802.11ac
'SDN-5',f2:9e:38:70:b8:95,802.11ac
'SDN-Staff',fe:9e:38:70:b8:95,802.11ac
'SDN-VOICE',f6:9e:38:70:b8:95,802.11ac
'Shalom-staff',84:18:3a:d8:d7:08,802.11n
'Shalom-staff',d8:38:fc:b9:a2:9c,802.11ac
'Shalom-staff',e0:10:7f:dc:3e:ec,802.11n
'Superloop-New College',d8:38:fc:0b:22:ec,802.11ac
'Superloop-New College',d8:38:fc:1f:13:6c,802.11ac
'Superloop-ShalomCollege',d8:38:fc:f9:a2:9c,802.11ac
'Superloop-ShalomCollege',e0:10:7f:1c:3e:ed,802.11n
'Superloop-ShalomCollege-2.4ghz',84:18:3a:18:d7:09,802.11n
'uniwide',a8:9d:21:5f:51:f0,802.11n
'uniwide',a8:9d:21:5f:51:ff,802.11ac
'UNSW Guest',08:cc:68:b4:52:2c,802.11ac
'UNSW Guest',08:cc:68:b5:91:fc,802.11ac
'UNSW Guest',a8:9d:21:5f:51:f3,802.11n
'UNSW Guest',a8:9d:21:5f:51:fc,802.11ac
'Warrane Guest',82:45:58:1d:f3:9f,802.11n
'Warrane Guest',82:45:58:1d:f4:ae,802.11n
'Warrane Guest',82:45:58:1d:f8:ff,802.11n
'Warrane Guest',82:45:58:1d:ff:f6,802.11n
'Warrane Guest',82:45:58:21:17:81,802.11n
'Warrane Guest',86:45:58:1e:ff:f6,802.11ac
'Warrane Staff',78:45:58:1d:f3:9f,802.11n
'Warrane Staff',78:45:58:1d:f4:ae,802.11n
'Warrane Staff',78:45:58:1d:f8:ff,802.11n
'Warrane Staff',78:45:58:21:05:d4,802.11n
'Warrane Staff',78:45:58:21:06:91,802.11n
'Warrane Staff',7e:45:58:1e:ff:f6,802.11ac
'Warrane Staff',7e:45:58:22:00:17,802.11ac
'WiFi-110A-5G',50:d4:f7:56:11:0c,802.11ac
'WiFi-9RUE3',d8:33:b7:e3:29:96,802.11ax
'WirelessNetwork',ea:9e:38:70:b8:95,802.11ac
<HIDDEN>,a0:0f:37:4c:7b:0a,802.11ac
<HIDDEN>,1c:e6:c7:5b:89:32,802.11ac
<HIDDEN>,1c:e6:c7:5b:89:33,802.11ac
<HIDDEN>,24:5a:4c:95:79:fe,802.11ac
<HIDDEN>,86:45:58:1d:f8:ff,802.11n
<HIDDEN>,8a:45:58:1d:f3:9f,802.11n
<HIDDEN>,8a:45:58:1e:fa:37,802.11ac
<HIDDEN>,8a:45:58:21:0c:e6,802.11n
<HIDDEN>,8e:45:58:1e:fa:37,802.11ac
<HIDDEN>,a8:9d:21:5f:4c:94,802.11n
<HIDDEN>,a8:9d:21:5f:4c:95,802.11n
<HIDDEN>,a8:9d:21:5f:4c:9a,802.11ac
<HIDDEN>,a8:9d:21:5f:4c:9b,802.11ac
<HIDDEN>,a8:9d:21:5f:51:f4,802.11n
'_Superloop-NewCollege5Ghz',d8:38:fc:df:18:8c,802.11ac
'AT_401_RAC_056905_WW_839c',fa:b9:5a:57:83:9c,802.11n
'AT_401_RAC_056905_WW_92e8',de:03:98:fd:92:e8,802.11n
'AT_401_RAC_056905_WW_b099',fa:b9:5a:cb:b0:99,802.11n
'AT_401_RAC_056905_WW_ea7e',de:03:98:9f:ea:7e,802.11n
'AT_401_RAC_056905_WW_f17e',26:e8:53:37:f1:7e,802.11n
'Cafe@new',fa:92:bf:ce:75:1e,802.11ac
'eduroam',1c:e6:c7:5b:89:36,802.11ac
'eduroam',a0:0f:37:4c:7b:01,802.11n
'eduroam',a8:9d:21:5f:4c:90,802.11n
'eduroam',a8:9d:21:5f:4c:9f,802.11ac
'Global_Students',1c:e6:c7:5b:89:35,802.11ac
'Global_Students',a0:0f:37:4c:7b:02,802.11n
'Global_Students',a8:9d:21:5f:4c:93,802.11n
'Global_Students',a8:9d:21:5f:4c:9c,802.11ac
'HA Staff',26:5a:4c:a5:79:fe,802.11ac
'HA Staff',7e:45:58:1d:f8:ff,802.11n
'HA Staff',7e:45:58:1d:fa:37,802.11n
'HA Staff',82:45:58:1e:fa:37,802.11ac
'Jonathan's Wi-Fi Network',90:72:40:25:07:e0,802.11n
'NC Admin',d8:38:fc:5f:18:8c,802.11ac
'Print',86:45:58:1d:ff:f6,802.11n
'Superloop-New College',d8:38:fc:1f:18:8c,802.11ac
'uniwide',a0:0f:37:4c:7b:00,802.11n
'UNSW Guest',08:cc:68:b4:ac:fc,802.11ac
'UNSW Guest',a8:9d:21:5f:4c:92,802.11n
'Warrane Guest',26:5a:4c:a5:79:fd,802.11n
'Warrane Guest',26:5a:4c:b5:79:fe,802.11ac
'Warrane Guest',82:45:58:1d:fa:37,802.11n
'Warrane Guest',82:45:58:21:06:91,802.11n
'Warrane Guest',86:45:58:1e:fa:37,802.11ac
'Warrane Staff',24:5a:4c:95:79:fd,802.11n
'Warrane Staff',26:5a:4c:95:79:fe,802.11ac
'Warrane Staff',78:45:58:1d:ea:02,802.11n
'Warrane Staff',78:45:58:1d:ff:f6,802.11n
'Warrane Staff',78:45:58:21:0a:ca,802.11n
'Warrane Staff',7e:45:58:1e:fa:37,802.11ac
<HIDDEN>,1c:e6:c7:5b:89:3b,802.11n
<HIDDEN>,4c:5e:0c:31:78:d5,802.11n
<HIDDEN>,8a:45:58:1d:fe:05,802.11n
<HIDDEN>,8a:45:58:1d:ff:f6,802.11n
'2R2 Wifi',30:91:8f:a2:9a:39,802.11n
'_Superloop-NewCollege5Ghz',d8:38:fc:cf:21:ec,802.11ac
'_Superloop-NewCollege5Ghz',d8:38:fc:cf:36:0c,802.11ac
'_Superloop-NewCollege5Ghz',d8:38:fc:df:13:dc,802.11ac
'_Superloop-NewCollege5Ghz',d8:38:fc:df:18:4c,802.11ac
'_Superloop-NewCollege5Ghz',d8:38:fc:f4:90:2c,802.11ac
'_Superloop-NewCollege5Ghz',d8:38:fc:f4:90:4c,802.11ac
'_Superloop-NewCollege5Ghz',d8:38:fc:f4:90:6c,802.11ac
'AD_401_RAC_056905_WW-2234',26:e8:53:38:22:34,802.11n
'AT_401_RAC_056905_WW_0439',de:03:98:6d:04:39,802.11n
'AT_401_RAC_056905_WW_15e6',de:03:98:c7:15:e6,802.11n
'AT_401_RAC_056905_WW_1b8f',de:03:98:c7:1b:8f,802.11n
'AT_401_RAC_056905_WW_2246',26:e8:53:38:22:46,802.11n
'AT_401_RAC_056905_WW_7640',fa:b9:5a:3e:76:40,802.11n
'AT_401_RAC_056905_WW_7675',fa:b9:5a:3e:76:75,802.11n
'AT_401_RAC_056905_WW_772f',fa:b9:5a:3e:77:2f,802.11n
'AT_401_RAC_056905_WW_8f02',de:03:98:c7:8f:02,802.11n
'AT_401_RAC_056905_WW_8f49',de:03:98:c7:8f:49,802.11n
'AT_401_RAC_056905_WW_9285',de:03:98:c7:92:85,802.11n
'AT_401_RAC_056905_WW_98d9',de:03:98:fd:98:d9,802.11n
'AT_401_RAC_056905_WW_9a41',de:03:98:c7:9a:41,802.11n
'AT_401_RAC_056905_WW_b0d0',fa:b9:5a:cb:b0:d0,802.11n
'AT_401_RAC_056905_WW_d4c0',de:03:98:9f:d4:c0,802.11n
'AT_401_RAC_056905_WW_d4fa',de:03:98:9f:d4:fa,802.11n
'AT_401_RAC_056905_WW_db0d',de:03:98:9f:db:0d,802.11n
'AT_401_RAC_056905_WW_e412',de:03:98:9f:e4:12,802.11n
'AT_401_RAC_056905_WW_e41a',de:03:98:9f:e4:1a,802.11n
'AT_401_RAC_056905_WW_e42b',de:03:98:9f:e4:2b,802.11n
'AT_401_RAC_056905_WW_e42e',de:03:98:9f:e4:2e,802.11n
'AT_401_RAC_056905_WW_e431',de:03:98:9f:e4:31,802.11n
'AT_401_RAC_056905_WW_f6d0',de:03:98:c6:f6:d0,802.11n
'AT_401_RAC_056905_WW_f74c',de:03:98:c6:f7:4c,802.11n
'Cafe@new',f4:92:bf:cd:75:1e,802.11n
'eduroam',a0:0f:37:4c:09:e1,802.11n
'eduroam',d0:72:dc:53:60:8f,802.11ac
'Global_Students',d0:72:dc:53:60:8b,802.11ac
'HA Staff',7e:45:58:1d:fe:05,802.11n
'HA Staff',7e:45:58:21:18:b7,802.11n
'NC Admin',d8:38:fc:4f:21:ec,802.11ac
'NC Admin',d8:38:fc:4f:36:0c,802.11ac
'NC Admin',d8:38:fc:5f:13:dc,802.11ac
'NC Admin',d8:38:fc:5f:18:38,802.11n
'NC Admin',d8:38:fc:5f:18:48,802.11n
'NC Admin',d8:38:fc:5f:18:4c,802.11ac
'NC Admin',d8:38:fc:74:90:2c,802.11ac
'NC Admin',d8:38:fc:74:90:48,802.11n
'NC Admin',d8:38:fc:74:90:4c,802.11ac
'NC Admin',d8:38:fc:74:90:68,802.11n
'NC Admin',d8:38:fc:74:90:6c,802.11ac
'Sophie’s lair speaker.o, 0x536f7068 6965e280 9973206c 61697220 ... 65616b65 722e6f2c },802.(null)
'Superloop-New College',d8:38:fc:0f:21:ec,802.11ac
'Superloop-New College',d8:38:fc:0f:36:0c,802.11ac
'Superloop-New College',d8:38:fc:1f:13:0c,802.11ac
'Superloop-New College',d8:38:fc:1f:13:dc,802.11ac
'Superloop-New College',d8:38:fc:1f:18:38,802.11n
'Superloop-New College',d8:38:fc:1f:18:48,802.11n
'Superloop-New College',d8:38:fc:1f:18:4c,802.11ac
'Superloop-New College',d8:38:fc:34:90:28,802.11n
'Superloop-New College',d8:38:fc:34:90:2c,802.11ac
'Superloop-New College',d8:38:fc:34:90:48,802.11n
'Superloop-New College',d8:38:fc:34:90:68,802.11n
'Superloop-New College',d8:38:fc:34:90:6c,802.11ac
'uniwide',1c:e6:c7:5b:89:3f,802.11n
'uniwide',a0:0f:37:4c:09:e0,802.11n
'uniwide',a8:9d:21:5f:4c:91,802.11n
'UNSW Guest',1c:e6:c7:3e:60:c3,802.11n
'Warrane Guest',82:45:58:21:18:b7,802.11n
'WiFi-501E5E',b0:a7:b9:50:1e:5e,802.11ax
'WiFi-6NX26',d8:33:b7:10:82:a6,802.11ax
<HIDDEN>,08:cc:68:b4:51:da,802.11ac
<HIDDEN>,08:cc:68:b4:51:dd,802.11ac
<HIDDEN>,08:cc:68:b4:5f:54,802.11n
<HIDDEN>,08:cc:68:b4:5f:55,802.11n
