SSID,BSSID,Protocol
'eduroam',a8:9d:21:85:19:e1,802.11n
'eduroam',a8:9d:21:85:19:ee,802.11ac
'eduroam',d0:72:dc:04:b9:0f,802.11ac
'Global_Students',00:ea:bd:db:d2:42,802.11n
'Global_Students',08:cc:68:b5:98:8d,802.11ac
'Global_Students',84:78:ac:98:48:45,802.11ac
'Global_Students',a0:0f:37:4c:ce:a4,802.11n
'Global_Students',a8:9d:21:71:d4:e4,802.11n
'Global_Students',d0:72:dc:04:b9:0b,802.11ac
'J17_AV_WAP',94:a6:7e:9e:f0:61,802.11ax
'uniwide',08:cc:68:b4:7b:ea,802.11ac
'uniwide',08:cc:68:b4:89:05,802.11n
'uniwide',08:cc:68:b4:a1:75,802.11n
'uniwide',08:cc:68:b5:30:9e,802.11ac
'uniwide',08:cc:68:b5:d0:5e,802.11ac
'uniwide',08:cc:68:b5:f7:3e,802.11ac
'uniwide',84:78:ac:98:48:46,802.11ac
'uniwide',a8:9d:21:71:d4:e1,802.11n
'uniwide',a8:9d:21:85:19:e5,802.11n
'UNSW Guest',08:cc:68:b5:30:9c,802.11ac
'UNSW Guest',84:78:ac:98:48:44,802.11ac
'UNSW Guest',a8:9d:21:71:d4:e3,802.11n
'UNSW Guest',a8:9d:21:71:d4:ec,802.11ac
<HIDDEN>,08:cc:68:b4:81:2b,802.11ac
<HIDDEN>,08:cc:68:b4:89:04,802.11n
<HIDDEN>,08:cc:68:b4:97:8b,802.11ac
<HIDDEN>,08:cc:68:b4:97:8f,802.11ac
<HIDDEN>,08:cc:68:b4:af:ab,802.11ac
<HIDDEN>,08:cc:68:b4:af:af,802.11ac
<HIDDEN>,08:cc:68:b4:db:1d,802.11ac
<HIDDEN>,08:cc:68:b5:30:94,802.11n
<HIDDEN>,08:cc:68:b5:35:c2,802.11n
<HIDDEN>,08:cc:68:b5:35:ca,802.11ac
<HIDDEN>,08:cc:68:b5:86:82,802.11n
<HIDDEN>,08:cc:68:b5:c1:62,802.11n
<HIDDEN>,08:cc:68:b5:c1:6a,802.11ac
<HIDDEN>,08:cc:68:b5:c5:ad,802.11ac
<HIDDEN>,08:cc:68:b5:c6:a2,802.11n
<HIDDEN>,08:cc:68:b5:e1:bb,802.11ac
<HIDDEN>,1c:e6:c7:3e:5a:8a,802.11n
<HIDDEN>,1c:e6:c7:3e:5a:8b,802.11n
<HIDDEN>,1c:e6:c7:5b:21:72,802.11ac
<HIDDEN>,1c:e6:c7:5b:21:73,802.11ac
<HIDDEN>,1c:e6:c7:5b:21:75,802.11n
<HIDDEN>,1c:e6:c7:5b:21:7a,802.11n
<HIDDEN>,1c:e6:c7:5b:21:7b,802.11n
<HIDDEN>,1c:e6:c7:5b:22:05,802.11n
<HIDDEN>,1c:e6:c7:5b:22:0a,802.11n
<HIDDEN>,54:78:1a:bf:63:da,802.11n
<HIDDEN>,70:70:8b:04:58:bb,802.11ac
<HIDDEN>,70:70:8b:04:58:bf,802.11ac
<HIDDEN>,a8:9d:21:71:b2:55,802.11n
<HIDDEN>,a8:9d:21:71:b2:5a,802.11ac
<HIDDEN>,a8:9d:21:71:b2:5d,802.11ac
<HIDDEN>,d0:72:dc:04:b9:02,802.11n
<HIDDEN>,d4:c9:3c:77:9a:55,802.11n
'AndroidAP1E13',8e:94:08:f4:6f:c9,802.11n
'eduroam',00:ea:bd:db:d2:40,802.11n
'eduroam',08:cc:68:b4:81:2f,802.11ac
'eduroam',08:cc:68:b4:af:ae,802.11ac
'eduroam',08:cc:68:b5:c1:6f,802.11ac
'eduroam',08:cc:68:b5:c5:a0,802.11n
