BSSID,Protocol
08:cc:68:b5:c1:6c,802.11ac
08:cc:68:b5:c5:ac,802.11ac
08:cc:68:b5:c6:ac,802.11ac
1c:e6:c7:3e:5a:8c,802.11n
1c:e6:c7:5b:21:6c,802.11n
1c:e6:c7:5b:21:74,802.11ac
1c:e6:c7:5b:21:7c,802.11n
1c:e6:c7:5b:22:03,802.11n
1c:e6:c7:5b:22:0c,802.11n
a8:9d:21:71:ae:33,802.11n
a8:9d:21:71:b2:5c,802.11ac
d0:72:dc:04:b9:03,802.11n
d4:c9:3c:77:9a:53,802.11n
d4:c9:3c:77:9a:5c,802.11ac
3e:ad:d7:ce:15:8f,802.11ax
a8:5e:45:9a:d9:90,802.11n
a8:5e:45:9a:d9:94,802.11ac
1c:bf:ce:d7:f7:da,802.11n
de:21:5c:ef:7a:86,802.11ac
00:ee:ab:38:99:2f,802.11ac
08:cc:68:b4:56:ee,802.11ac
08:cc:68:b4:63:40,802.11n
08:cc:68:b4:63:4f,802.11ac
08:cc:68:b4:7d:b1,802.11n
08:cc:68:b4:7e:e1,802.11n
08:cc:68:b4:7e:ee,802.11ac
08:cc:68:b4:8c:10,802.11n
08:cc:68:b4:8c:1f,802.11ac
08:cc:68:b4:8c:40,802.11n
08:cc:68:b4:8c:4f,802.11ac
08:cc:68:b4:8c:fe,802.11ac
08:cc:68:b4:8f:d0,802.11n
08:cc:68:b4:8f:df,802.11ac
08:cc:68:b4:a4:1e,802.11ac
08:cc:68:b4:db:1f,802.11ac
08:cc:68:b4:e4:7e,802.11ac
08:cc:68:b5:86:80,802.11n
08:cc:68:b5:86:8f,802.11ac
08:cc:68:b5:9a:4e,802.11ac
1c:e6:c7:e0:26:17,802.11ac
1c:e6:c7:e0:26:1f,802.11n
1c:e6:c7:e0:26:47,802.11ac
24:16:9d:23:f0:cf,802.11ac
70:70:8b:04:58:be,802.11ac
84:78:ac:c0:1f:5f,802.11n
a8:9d:21:71:ae:30,802.11n
a8:9d:21:71:ae:3f,802.11ac
1a:62:02:07:fe:2f,802.11ac
00:ee:ab:38:99:2b,802.11ac
08:cc:68:b4:63:44,802.11n
08:cc:68:b4:63:4b,802.11ac
08:cc:68:b4:8c:14,802.11n
08:cc:68:b4:8c:1b,802.11ac
08:cc:68:b4:8c:4b,802.11ac
08:cc:68:b4:8f:db,802.11ac
08:cc:68:b5:86:84,802.11n
08:cc:68:b5:86:8b,802.11ac
08:cc:68:b5:f7:3d,802.11ac
1c:e6:c7:e0:26:13,802.11ac
1c:e6:c7:e0:26:43,802.11ac
1c:e6:c7:e0:26:4b,802.11n
24:16:9d:23:f0:cb,802.11ac
a8:9d:21:71:ae:34,802.11n
a8:9d:21:71:ae:3b,802.11ac
b8:27:eb:ce:49:09,802.11n
e6:55:88:41:d5:72,802.11ax
7c:10:c9:02:f2:d1,802.11ax
7c:10:c9:02:f3:15,802.11ax
7c:10:c9:02:f2:d0,802.11ax
7c:10:c9:02:f3:11,802.11ax
7c:10:c9:02:f3:14,802.11ax
04:62:73:ae:fd:31,802.11n
08:cc:68:b4:56:ef,802.11ac
08:cc:68:b4:63:41,802.11n
08:cc:68:b4:63:4e,802.11ac
08:cc:68:b4:7e:e5,802.11n
08:cc:68:b4:7e:ea,802.11ac
08:cc:68:b4:8c:11,802.11n
08:cc:68:b4:8c:1e,802.11ac
08:cc:68:b4:8c:4e,802.11ac
08:cc:68:b4:8c:fa,802.11ac
08:cc:68:b4:8f:d1,802.11n
08:cc:68:b4:a4:1a,802.11ac
08:cc:68:b4:b9:45,802.11n
08:cc:68:b4:be:0a,802.11ac
08:cc:68:b4:db:1e,802.11ac
08:cc:68:b5:86:81,802.11n
08:cc:68:b5:86:8e,802.11ac
08:cc:68:b5:db:9e,802.11ac
1c:e6:c7:e0:26:16,802.11ac
1c:e6:c7:e0:26:46,802.11ac
1c:e6:c7:e0:26:4e,802.11n
24:16:9d:23:f0:ce,802.11ac
a8:9d:21:71:ae:3e,802.11ac
08:cc:68:b4:56:ec,802.11ac
