GPS Latitude,GPS Longitude,GPS Accuracy (meters)
-33.91803645532021,151.232079696051,7.211102550927978
-33.91814745295932,151.2315359186265,5.830951894845301
-33.91851113447614,151.2309581011531,
-33.91813622243723,151.2309540092327,5.830951894845301
-33.91889994884315,151.230905478168,5.830951894845301
-33.91911074089469,151.2308187888863,5.830951894845301
-33.91894634835945,151.2301081690469,5.830951894845301
-33.91932648431597,151.2299793384308,5.830951894845301
-33.91899394158874,151.2296084380005,5.830951894845301
-33.91921139500414,151.2291377175447,5.830951894845301
-33.91853014325076,151.2290357586893,5.830951894845301
-33.91886320587908,151.2287698626631,5.830951894845301
-33.91907454114755,151.2281908893486,5.830951894845301
-33.91900581676208,151.2276069807643,5.830951894845301
-33.91892104539338,151.227040102537,5.830951894845301
-33.91851704848121,151.2272163826757,5.830951894845301
-33.91804246796507,151.2269946705635,5.830951894845301
-33.91774371943709,151.227723223857,5.830951894845301
-33.9178496392999,151.2286069392164,5.830951894845301
-33.91820833811267,151.22893393049,5.830951894845301
-33.91767214293898,151.2291858305811,5.830951894845301
-33.91744929591265,151.2282549415357,5.830951894845301
-33.91728629758995,151.2273276564751,5.830951894845301
-33.91724378705597,151.2267549764607,5.830951894845301
-33.91714409257115,151.2262274565885,5.830951894845301
-33.91783070397691,151.230078236885,5.830951894845301
