GPS Latitude,GPS Longitude,GPS Accuracy (meters)
-33.91807862162544,151.2320674744213,5.830951894845301
-33.91814261112493,151.2315511424216,5.830951894845301
-33.91816584822314,151.2309350714884,5.830951894845301
-33.91858699270163,151.2309842213589,5.830951894845301
-33.91889455800266,151.2308665555684,5.830951894845301
-33.91911963332598,151.2308704142219,5.830951894845301
-33.91894614146847,151.2301109685882,5.830951894845301
-33.91931338220061,151.2300105378451,5.830951894845301
-33.91900016569379,151.2296022170556,5.830951894845301
-33.91919656686258,151.2291500179111,5.830951894845301
-33.91854058005494,151.2290358910021,5.830951894845301
-33.91885786459804,151.2287929695551,5.830951894845301
-33.91907297166988,151.2282013974443,5.830951894845301
-33.91900515695012,151.2276285658537,5.830951894845301
-33.91892758936906,151.2270289898638,5.830951894845301
-33.91852116944278,151.2272062446846,5.830951894845301
-33.91802229236775,151.2270174178268,5.830951894845301
-33.91772563151054,151.2276894686193,5.830951894845301
-33.9178304073141,151.2285837170153,5.830951894845301
-33.9182038033115,151.2289557105559,5.830951894845301
-33.91767185311492,151.2291807758461,5.830951894845301
-33.91744165833242,151.2283048630721,5.830951894845301
-33.91729285184051,151.2273159239038,5.830951894845301
-33.91730803862942,151.2267773547112,5.830951894845301
-33.91716476975675,151.2262241004644,5.830951894845301
-33.91785913523921,151.2300588585539,5.830951894845301
