GPS Latitude,GPS Longitude,GPS Accuracy (meters)
-33.91807931274746,151.2321082966509,5.830951894845301
-33.9181714647792,151.2315432787642,5.830951894845301
-33.91816815100133,151.2309510300788,5.830951894845301
-33.91856906343445,151.2309646909367,5.830951894845301
-33.9189099002252,151.2308851587985,5.830951894845301
-33.91912914775241,151.2308576924298,5.830951894845301
-33.91894763070252,151.2301447273916,5.830951894845301
-33.91933616626027,151.2299770978143,5.830951894845301
-33.91900435039837,151.2296471753655,5.830951894845301
-33.91922195686515,151.229163461486,5.830951894845301
-33.91853504093032,151.2290591057054,5.830951894845301
-33.91887601041869,151.2287751023758,5.830951894845301
-33.91910176056761,151.2282070147803,5.830951894845301
-33.91902273340663,151.227626165232,5.830951894845301
-33.91893589781114,151.2270506235235,5.830951894845301
-33.91853300505561,151.2272244101396,5.830951894845301
-33.91807184093798,151.2270111640582,5.830951894845301
-33.91775708960295,151.2277534861827,5.830951894845301
-33.91787044211492,151.2286622542681,5.830951894845301
-33.91823324504947,151.2289575830811,5.830951894845301
-33.9176910659457,151.2292110724431,5.830951894845301
-33.91742637274093,151.2283068418821,5.830951894845301
-33.91729844524183,151.2273416358361,5.830951894845301
-33.91725185813454,151.2268013441253,5.830951894845301
-33.91717590905373,151.2262334148253,5.830951894845301
-33.91782938040226,151.2301141397573,7.211102550927978
