Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1697070729,MACOS,Airport,,,,eduroam,08:cc:68:b4:5f:d0,,5GHz,11,-75,20,-79,,
1697070729,MACOS,Airport,,,,uniwide,d0:72:dc:3b:01:31,,5GHz,6,-81,20,-78,,
1697070729,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:3e:61:c4,,2.4GHz,36,-88,40,-92,,
1697070729,MACOS,Airport,,,,eduroam,d0:72:dc:53:63:3e,,2.4GHz,64,-89,40,-91,,
1697070729,MACOS,Airport,,,,uniwide,58:97:1e:56:4d:26,,2.4GHz,44,-89,40,-92,,
1697070729,MACOS,Airport,,,,eduroam,08:cc:68:b4:58:10,,5GHz,6,-64,20,-78,,
1697070729,MACOS,Airport,,,,Global_Students,1c:e6:c7:3e:db:2b,,2.4GHz,64,-80,40,-91,,
1697070729,MACOS,Airport,,,,Global_Students,1c:e6:c7:3e:60:c5,,2.4GHz,64,-89,40,-91,,
1697070729,MACOS,Airport,,,,uniwide,7c:0e:ce:de:50:de,,2.4GHz,44,-91,40,-92,,
1697070729,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:3e:db:24,,2.4GHz,64,-84,40,-93,,
1697070729,MACOS,Airport,,,,Global_Students,08:cc:68:b4:58:14,,5GHz,6,-64,20,-78,,
1697070729,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:af:4c,,2.4GHz,100,-86,40,-90,,
1697070729,MACOS,Airport,,,,uniwide,08:cc:68:b5:f2:91,,5GHz,11,-66,20,-82,,
1697070729,MACOS,Airport,,,,UNSW Guest,08:cc:68:b5:f2:fc,,2.4GHz,132,-88,40,-89,,
1697070729,MACOS,Airport,,,,eduroam,08:cc:68:b4:5f:df,,2.4GHz,100,-90,40,-92,,
1697070729,MACOS,Airport,,,,UNSW Guest,a8:9d:21:5c:c2:fc,,2.4GHz,132,-76,40,-93,,
1697070729,MACOS,Airport,,,,uniwide,a0:0f:37:4c:9f:80,,5GHz,11,-77,20,-82,,
1697070729,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:3e:db:2c,,2.4GHz,64,-88,40,-89,,
1697070729,MACOS,Airport,,,,UNSW Guest,a0:0f:37:4c:09:ec,,2.4GHz,132,-79,40,-93,,
1697070729,MACOS,Airport,,,,AC10-5G,9c:c9:eb:4d:6e:18,,2.4GHz,36,-86,80,-95,,
1697070729,MACOS,Airport,,,,uniwide,a8:9d:21:5c:c2:f1,,5GHz,1,-70,20,-83,,
1697070729,MACOS,Airport,,,,eduroam,08:cc:68:b5:f2:90,,5GHz,11,-66,20,-82,,
1697070729,MACOS,Airport,,,,uniwide,a0:0f:37:4c:09:ef,,2.4GHz,132,-79,40,-93,,
1697070729,MACOS,Airport,,,,eduroam,1c:e6:c7:e0:1a:27,,2.4GHz,64,-88,40,-91,,
1697070729,MACOS,Airport,,,,uniwide,08:cc:68:b5:8c:7e,,2.4GHz,132,-87,40,-89,,
1697070729,MACOS,Airport,,,,Global_Students,08:cc:68:b4:7f:7b,,2.4GHz,52,-89,40,-88,,
1697070729,MACOS,Airport,,,,NetComm 9796,d0:db:b7:a9:48:86,,5GHz,6,-76,40,-84,,
1697070729,MACOS,Airport,,,,eduroam,08:cc:68:b4:7f:7f,,2.4GHz,52,-77,40,-90,,
1697070729,MACOS,Airport,,,,eduroam,a8:9d:21:5c:c2:ff,,2.4GHz,132,-76,40,-93,,
1697070729,MACOS,Airport,,,,Global_Students,a0:0f:37:4c:e6:8d,,2.4GHz,52,-75,40,-88,,
1697070729,MACOS,Airport,,,,Global_Students,08:cc:68:b4:54:cb,,2.4GHz,36,-86,40,-92,,
1697070729,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:60:ce,,2.4GHz,64,-88,40,-89,,
1697070729,MACOS,Airport,,,,eduroam,1c:e6:c7:0d:6c:d7,,2.4GHz,64,-90,40,-89,,
1697070729,MACOS,Airport,,,,UNSW Guest,08:cc:68:b5:f2:9c,,2.4GHz,132,-78,40,-89,,
1697070729,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:58:13,,5GHz,6,-64,20,-78,,
1697070729,MACOS,Airport,,,,MAZZER-32650674,30:c6:f7:ea:ab:71,,5GHz,1,-73,40,-81,,
1697070729,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:da:bf,,2.4GHz,52,-81,40,-88,,
1697070729,MACOS,Airport,,,,Global_Students,1c:e6:c7:e0:1a:25,,2.4GHz,64,-88,40,-91,,
1697070729,MACOS,Airport,,,,eduroam,08:cc:68:b4:58:1f,,2.4GHz,100,-83,40,-90,,
1697070729,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:5b:4a:fc,,2.4GHz,36,-91,40,-95,,
1697070729,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:da:b7,,2.4GHz,52,-87,40,-93,,
1697070729,MACOS,Airport,,,,Global_Students,08:cc:68:b4:58:1b,,2.4GHz,100,-82,40,-90,,
1697070729,MACOS,Airport,,,,Global_Students,a8:9d:21:5c:c2:f4,,5GHz,1,-68,20,-81,,
1697070729,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:3e:da:bc,,2.4GHz,52,-82,40,-92,,
1697070729,MACOS,Airport,,,,Global_Students,08:cc:68:b5:8c:8b,,2.4GHz,112,-93,40,-92,,
1697070729,MACOS,Airport,,,,Global_Students,08:cc:68:b4:5f:db,,2.4GHz,100,-91,40,-92,,
1697070729,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:0d:6c:d4,,2.4GHz,64,-91,40,-89,,
1697070729,MACOS,Airport,,,,eduroam,a0:0f:37:4c:09:ee,,2.4GHz,132,-80,40,-93,,
1697070729,MACOS,Airport,,,,uniwide,1c:e6:c7:3e:61:c7,,2.4GHz,36,-87,40,-92,,
1697070729,MACOS,Airport,,,,uniwide,1c:e6:c7:5b:89:37,,2.4GHz,149,-81,40,-91,,
1697070729,MACOS,Airport,,,,UNSW Guest,08:cc:68:b5:c7:e3,,5GHz,1,-83,20,-84,,
1697070729,MACOS,Airport,,,,eduroam,08:cc:68:b5:f2:9f,,2.4GHz,132,-78,40,-89,,
1697070729,MACOS,Airport,,,,eduroam,08:cc:68:b4:51:df,,2.4GHz,52,-81,40,-90,,
1697070729,MACOS,Airport,,,,uniwide,08:cc:68:b5:c7:ee,,2.4GHz,64,-89,40,-89,,
1697070729,MACOS,Airport,,,,UNSW Guest,a0:0f:37:4c:e6:8c,,2.4GHz,52,-75,40,-88,,
1697070729,MACOS,Airport,,,,uniwide,1c:e6:c7:3e:db:21,,5GHz,11,-81,20,-79,,
1697070729,MACOS,Airport,,,,Global_Students,1c:e6:c7:0d:6c:d3,,2.4GHz,64,-90,40,-92,,
1697070729,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:60:c6,,2.4GHz,64,-88,40,-89,,
1697070729,MACOS,Airport,,,,uniwide,1c:e6:c7:3e:60:cf,,2.4GHz,64,-89,40,-93,,
1697070729,MACOS,Airport,,,,eduroam,a0:0f:37:4c:9f:81,,5GHz,11,-70,20,-84,,
1697070729,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:61:ce,,2.4GHz,36,-85,40,-92,,
