Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1697069420,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:6a:13,,5GHz,6,-87,20,-81,,
1697069420,MACOS,Airport,,,,NOKIA-F953,dc:8d:8a:9e:f9:5d,,2.4GHz,161,-88,80,-95,,
1697069420,MACOS,Airport,,,,eduroam,04:62:73:ae:fd:3f,,2.4GHz,100,-82,40,-94,,
1697069420,MACOS,Airport,,,,Global_Students,a8:9d:21:71:ae:3b,,2.4GHz,64,-83,40,-94,,
1697069420,MACOS,Airport,,,,eduroam,1c:e6:c7:e0:26:47,,2.4GHz,149,-84,40,-95,,
1697069420,MACOS,Airport,,,,uniwide,08:cc:68:b5:8d:f5,,5GHz,6,-82,20,-88,,
1697069420,MACOS,Airport,,,,uniwide,a8:9d:21:71:ae:3e,,2.4GHz,64,-80,40,-93,,
1697069420,MACOS,Airport,,,,uniwide,1c:e6:c7:e0:26:16,,2.4GHz,36,-87,40,-94,,
1697069420,MACOS,Airport,,,,Global_Students,1c:e6:c7:e0:26:1b,,2.4GHz,36,-80,40,-95,,
1697069420,MACOS,Airport,,,,eduroam,a8:9d:21:71:ae:3f,,2.4GHz,64,-81,40,-93,,
1697069420,MACOS,Airport,,,,Global_Students,a8:9d:21:71:ae:34,,5GHz,1,-78,20,-88,,
1697069420,MACOS,Airport,,,,uniwide,1c:e6:c7:e0:26:76,,2.4GHz,48,-85,40,-95,,
1697069420,MACOS,Airport,,,,eduroam,24:16:9d:23:fd:2f,,2.4GHz,132,-87,40,-94,,
1697069420,MACOS,Airport,,,,Global_Students,08:cc:68:b5:86:8b,,2.4GHz,52,-77,40,-94,,
1697069420,MACOS,Airport,,,,Pixel_5967,e6:11:19:ac:ef:27,,5GHz,11,-84,20,-82,,
1697069420,MACOS,Airport,,,,uniwide,a8:9d:21:5f:4c:1e,,2.4GHz,132,-79,40,-94,129.94.8.23,3.638
1697069420,MACOS,Airport,,,,MOTOR-ONE_M2_B4BC55,1c:bf:ce:b4:bc:55,,5GHz,6,-92,20,-81,,
1697069420,MACOS,Airport,,,,eduroam,24:16:9d:24:45:00,,5GHz,11,-82,20,-89,,
1697069420,MACOS,Airport,,,,eduroam,08:cc:68:b4:8c:fe,,2.4GHz,64,-82,40,-93,,
1697069420,MACOS,Airport,,,,UNSW Guest,24:16:9d:24:45:03,,5GHz,11,-83,20,-89,,
1697069420,MACOS,Airport,,,,eduroam,24:16:9d:23:fd:20,,5GHz,1,-74,20,-81,,
1697069420,MACOS,Airport,,,,uniwide,84:78:ac:c0:1f:56,,2.4GHz,56,-89,40,-95,,
1697069420,MACOS,Airport,,,,Global_Students,1c:e6:c7:e0:26:43,,2.4GHz,149,-85,40,-95,,
1697069420,MACOS,Airport,,,,uniwide,70:70:8b:04:58:ba,,2.4GHz,64,-89,40,-92,,
1697069420,MACOS,Airport,,,,uniwide,08:cc:68:b5:86:81,,5GHz,11,-70,20,-85,,
1697069420,MACOS,Airport,,,,MEREAVIE_POWER,7c:10:c9:02:f3:14,,2.4GHz,36,-89,160,-94,,
1697069420,MACOS,Airport,,,,uniwide,24:16:9d:24:45:01,,5GHz,11,-86,20,-82,,
1697069420,MACOS,Airport,,,,uniwide,24:16:9d:24:45:0e,,2.4GHz,100,-88,40,-95,,
1697069420,MACOS,Airport,,,,UNSW Guest,a8:9d:21:71:ae:33,,5GHz,1,-78,20,-81,,
1697069420,MACOS,Airport,,,,eduroam,a8:9d:21:71:ae:30,,5GHz,1,-76,20,-81,,
1697069420,MACOS,Airport,,,,eduroam,08:cc:68:b5:86:8f,,2.4GHz,52,-77,40,-94,,
1697069420,MACOS,Airport,,,,eduroam,08:cc:68:b4:8c:f1,,5GHz,6,-82,20,-85,,
1697069420,MACOS,Airport,,,,uniwide,84:78:ac:c0:1f:5e,,2.4GHz,56,-84,40,-95,,
1697069420,MACOS,Airport,,,,eduroam,1c:e6:c7:e0:26:17,,2.4GHz,36,-87,40,-94,,
1697069420,MACOS,Airport,,,,uniwide,a8:9d:21:71:ae:31,,5GHz,1,-78,20,-81,,
1697069420,MACOS,Airport,,,,uniwide,58:ac:78:89:ec:10,,5GHz,6,-85,20,-81,,
1697069420,MACOS,Airport,,,,UNSW Guest,08:cc:68:b5:cc:93,,5GHz,1,-89,20,-81,,
1697069420,MACOS,Airport,,,,uniwide,1c:e6:c7:e0:26:4e,,2.4GHz,149,-88,40,-92,,
1697069420,MACOS,Airport,,,,NOKIA-C01B,dc:8d:8a:41:c0:25,,2.4GHz,161,-87,80,-93,,
1697069420,MACOS,Airport,,,,UNSW Guest,84:78:ac:c0:1f:54,,2.4GHz,56,-89,40,-95,,
1697069420,MACOS,Airport,,,,MEREAVIE_CONTROL,7c:10:c9:02:f3:15,,2.4GHz,36,-88,160,-94,,
1697069420,MACOS,Airport,,,,Vodafone2.4G-E5B3C,20:b0:01:8e:5b:3d,,5GHz,1,-86,20,-88,,
1697069420,MACOS,Airport,,,,uniwide,08:cc:68:b4:6a:11,,5GHz,6,-86,20,-81,,
1697069420,MACOS,Airport,,,,eduroam,a8:9d:21:5f:4c:1f,,2.4GHz,132,-78,40,-91,,
1697069420,MACOS,Airport,,,,Global_Students,a8:9d:21:5f:4c:1b,,2.4GHz,132,-80,40,-94,,
1697069420,MACOS,Airport,,,,uniwide,24:16:9d:23:fd:2e,,2.4GHz,132,-87,40,-94,,
1697069420,MACOS,Airport,,,,pixE.L,62:e3:7b:fb:1c:a6,,2.4GHz,157,-85,80,-96,,
1697069420,MACOS,Airport,,,,Global_Students,84:78:ac:c0:1f:53,,2.4GHz,56,-90,40,-95,,
1697069420,MACOS,Airport,,,,UNSW Guest,84:78:ac:c0:1f:5c,,2.4GHz,56,-82,40,-93,,
1697069420,MACOS,Airport,,,,eduroam,a8:9d:21:5f:4c:10,,5GHz,11,-78,20,-89,,
