Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1696996973,MACOS,Airport,,,,uniwide,1c:e6:c7:0d:72:a7,,2.4GHz,64,-73,40,-88,,
1696996973,MACOS,Airport,,,,uniwide,08:cc:68:b4:50:1f,,2.4GHz,132,-82,40,-90,,
1696996973,MACOS,Airport,,,,Global_Students,d0:72:dc:5c:0a:dd,,2.4GHz,100,-71,40,-90,,
1696996973,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:5b:94:24,,2.4GHz,64,-85,40,-88,,
1696996973,MACOS,Airport,,,,eduroam,44:ad:d9:60:be:d6,,2.4GHz,52,-81,40,-90,,
1696996973,MACOS,Airport,,,,eduroam,58:97:1e:56:56:2e,,2.4GHz,52,-79,40,-90,,
1696996973,MACOS,Airport,,,,eduroam,dc:a5:f4:9c:62:de,,2.4GHz,36,-81,40,-87,,
1696996973,MACOS,Airport,,,,eduroam,08:cc:68:b4:5f:5e,,2.4GHz,149,-80,40,-89,,
1696996973,MACOS,Airport,,,,uniwide,a0:0f:37:4c:9f:8f,,2.4GHz,108,-92,40,-86,,
1696996973,MACOS,Airport,,,,Global_Students,08:cc:68:b4:50:1d,,2.4GHz,132,-82,40,-90,,
1696996973,MACOS,Airport,,,,Global_Students,1c:e6:c7:5b:89:35,,2.4GHz,149,-88,40,-89,,
1696996973,MACOS,Airport,,,,UNSW Guest,70:df:2f:ea:82:ac,,2.4GHz,112,-86,40,-86,,
1696996973,MACOS,Airport,,,,UNSW Guest,84:78:ac:c0:35:2c,,2.4GHz,52,-72,40,-90,,
1696996973,MACOS,Airport,,,,Global_Students,70:df:2f:ea:82:ad,,2.4GHz,112,-86,40,-86,,
1696996973,MACOS,Airport,,,,uniwide,84:78:ac:c0:35:2f,,2.4GHz,52,-73,40,-90,,
1696996973,MACOS,Airport,,,,eduroam,1c:e6:c7:f1:ed:de,,2.4GHz,52,-74,40,-90,,
1696996973,MACOS,Airport,,,,Global_Students,84:78:ac:c0:35:25,,2.4GHz,52,-67,40,-86,,
1696996973,MACOS,Airport,,,,uniwide,1c:e6:c7:5b:68:07,,2.4GHz,64,-82,40,-90,,
1696996973,MACOS,Airport,,,,uniwide,1c:e6:c7:5b:68:0f,,2.4GHz,64,-85,40,-90,,
1696996973,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:50:1c,,2.4GHz,132,-82,40,-90,,
1696996973,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:0d:72:a4,,2.4GHz,64,-73,40,-88,,
1696996973,MACOS,Airport,,,,_Superloop-NewCollegeVillage5GHz,c8:08:73:55:d6:4c,,2.4GHz,116,-91,20,-87,,
1696996973,MACOS,Airport,,,,UNSW Guest,58:97:1e:56:56:2c,,2.4GHz,52,-80,40,-90,,
1696996973,MACOS,Airport,,,,uniwide,08:cc:68:b4:5f:5f,,2.4GHz,149,-80,40,-89,,
1696996973,MACOS,Airport,,,,eduroam,1c:e6:c7:0d:72:a6,,2.4GHz,64,-72,40,-88,,
1696996973,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:5b:75:4c,,2.4GHz,64,-85,40,-88,,
1696996973,MACOS,Airport,,,,UNSW Guest,84:78:ac:c0:35:24,,2.4GHz,52,-67,40,-86,,
1696996973,MACOS,Airport,,,,UNSW Guest,70:df:2f:ea:82:a3,,5GHz,11,-73,20,-80,,
