Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1697097729,MACOS,Airport,,,,Global_Students,a8:9d:21:71:ba:bc,,2.4GHz,64,-70,40,-90,,
1697097729,MACOS,Airport,,,,eduroam,08:cc:68:b4:5f:5e,,2.4GHz,132,-93,40,-92,,
1697097729,MACOS,Airport,,,,uniwide,58:97:1e:56:56:2f,,2.4GHz,44,-86,40,-91,,
1697097729,MACOS,Airport,,,,Global_Students,1c:e6:c7:f0:20:15,,2.4GHz,56,-91,40,-93,,
1697097729,MACOS,Airport,,,,Global_Students,08:cc:68:cc:3b:82,,5GHz,6,-80,20,-83,,
1697097729,MACOS,Airport,,,,uniwide,08:cc:68:b4:69:ef,,2.4GHz,161,-90,40,-94,,
1697097729,MACOS,Airport,,,,_Superloop-NewCollegeVillage5GHz,c8:08:73:55:cf:8c,,2.4GHz,40,-88,20,-93,,
1697097729,MACOS,Airport,,,,uniwide,04:62:73:a9:ec:5f,,2.4GHz,100,-90,40,-92,,
1697097729,MACOS,Airport,,,,eduroam,1c:e6:c7:5b:68:0e,,2.4GHz,64,-73,40,-92,,
1697097729,MACOS,Airport,,,,eduroam,58:ac:78:af:f2:ee,,2.4GHz,56,-88,40,-91,,
1697097729,MACOS,Airport,,,,Superloop-New College Village,c8:08:73:15:d8:58,,5GHz,9,-76,20,-83,,
1697097729,MACOS,Airport,,,,Superloop-New College Village,c8:08:73:15:1e:a8,,5GHz,13,-71,20,-73,,
1697097729,MACOS,Airport,,,,UNSW Guest,58:97:1e:56:56:2c,,2.4GHz,44,-78,40,-93,,
1697097729,MACOS,Airport,,,,uniwide,58:ac:78:af:f2:ef,,2.4GHz,56,-87,40,-91,,
1697097729,MACOS,Airport,,,,uniwide,08:cc:68:cc:26:bf,,2.4GHz,108,-91,40,-94,,
