Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1697167309,MACOS,Airport,,,,eduroam,08:cc:68:b4:9e:3f,,2.4GHz,132,-81,40,-95,,
1697167309,MACOS,Airport,,,,Guest-Shalom,84:18:3a:98:5c:2c,,2.4GHz,44,-78,20,-94,,
1697167309,MACOS,Airport,,,,eduroam,a0:0f:37:4c:93:2f,,2.4GHz,112,-94,40,-95,,
1697167309,MACOS,Airport,,,,uniwide,f0:9e:63:1d:ff:0e,,2.4GHz,161,-90,40,-96,,
1697167309,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:54:cc,,2.4GHz,36,-86,40,-95,,
1697167309,MACOS,Airport,,,,eduroam,f0:9e:63:14:89:60,,5GHz,6,-87,20,-85,,
1697167309,MACOS,Airport,,,,HA Staff,82:45:58:22:06:91,,2.4GHz,44,-88,40,-95,,
1697167309,MACOS,Airport,,,,Warrane Staff,7e:45:58:1e:ea:02,,2.4GHz,48,-91,40,-92,,
1697167309,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:f0:1b:d4,,2.4GHz,44,-91,40,-95,,
1697167309,MACOS,Airport,,,,UNSW Guest,a0:0f:37:4c:09:ec,,2.4GHz,132,-84,40,-94,,
1697167309,MACOS,Airport,,,,Global_Students,f0:9e:63:1d:ff:0c,,2.4GHz,161,-91,40,-96,,
1697167309,MACOS,Airport,,,,Guest-Shalom,84:18:3a:98:ac:7c,,2.4GHz,161,-76,20,-96,,
1697167309,MACOS,Airport,,,,Global_Students,1c:e6:c7:3e:61:cd,,2.4GHz,36,-89,40,-95,,
1697167309,MACOS,Airport,,,,uniwide,1c:e6:c7:3e:60:c7,,2.4GHz,64,-89,40,-95,,
1697167309,MACOS,Airport,,,,uniwide,08:cc:68:b4:7f:7e,,2.4GHz,52,-83,40,-92,,
1697167309,MACOS,Airport,,,,Warrane Staff,7e:45:58:22:18:f3,,2.4GHz,36,-91,40,-94,,
1697167309,MACOS,Airport,,,,uniwide,f0:9e:63:14:76:ae,,2.4GHz,40,-93,40,-94,,
1697167309,MACOS,Airport,,,,eduroam,f0:9e:63:14:a2:ef,,2.4GHz,48,-81,40,-94,,
1697167309,MACOS,Airport,,,,uniwide,f0:9e:63:1d:f9:0e,,2.4GHz,149,-94,40,-92,,
1697167309,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:61:ce,,2.4GHz,36,-92,40,-94,,
