Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1697183111,MACOS,Airport,,,,uniwide,1c:e6:c7:3e:60:c7,,2.4GHz,64,-87,40,-94,,
1697183111,MACOS,Airport,,,,uniwide,1c:e6:c7:5b:30:1e,,2.4GHz,64,-88,40,-93,,
1697183111,MACOS,Airport,,,,eduroam,1c:e6:c7:5b:30:17,,2.4GHz,64,-89,40,-93,,
1697183111,MACOS,Airport,,,,Global_Students,08:cc:68:b4:92:54,,5GHz,11,-83,20,-93,,
1697183111,MACOS,Airport,,,,Global_Students,7c:0e:ce:dc:5d:03,,5GHz,6,-82,20,-93,,
1697183111,MACOS,Airport,,,,HPDeskjet2131,50:c7:bf:de:20:3b,,5GHz,11,-78,20,-93,,
1697183111,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:5b:15:3c,,2.4GHz,64,-86,40,-94,,
1697183111,MACOS,Airport,,,,eduroam,08:cc:68:b5:92:a0,,5GHz,11,-82,20,-93,,
1697183111,MACOS,Airport,,,,uniwide,f0:9e:63:1c:b4:6e,,2.4GHz,36,-85,40,-97,,
1697183111,MACOS,Airport,,,,UNSW Guest,d0:c7:89:67:82:b4,,2.4GHz,52,-90,40,-96,,
1697183111,MACOS,Airport,,,,Global_Students,a0:0f:37:4c:93:2b,,2.4GHz,112,-83,40,-94,,
1697183111,MACOS,Airport,,,,UNSW Guest,f0:9e:63:14:95:62,,5GHz,6,-87,20,-93,,
1697183111,MACOS,Airport,,,,uniwide,1c:e6:c7:f0:1a:1e,,2.4GHz,64,-84,40,-92,,
1697183111,MACOS,Airport,,,,uniwide,08:cc:68:b4:bf:2e,,2.4GHz,132,-94,40,-95,,
1697183111,MACOS,Airport,,,,Global_Students,1c:e6:c7:5b:30:1b,,2.4GHz,64,-87,40,-93,,
1697183111,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:5b:89:33,,5GHz,6,-89,20,-93,,
1697183111,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:60:c1,,5GHz,6,-91,20,-93,,
1697183111,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:92:53,,5GHz,11,-78,20,-93,,
1697183111,MACOS,Airport,,,,uniwide,08:cc:68:b4:dc:1f,,2.4GHz,64,-85,20,-92,,
1697183111,MACOS,Airport,,,,eduroam,a8:9d:21:5c:c2:ff,,2.4GHz,132,-90,40,-91,,
1697183111,MACOS,Airport,,,,Global_Students,08:cc:68:b4:b2:6b,,2.4GHz,100,-91,40,-94,,
1697183111,MACOS,Airport,,,,eduroam,d0:72:dc:53:5d:4f,,2.4GHz,132,-84,40,-94,,
1697183111,MACOS,Airport,,,,uniwide,08:cc:68:b4:92:51,,5GHz,11,-80,20,-93,,
1697183111,MACOS,Airport,,,,uniwide,f0:9e:63:14:66:8e,,2.4GHz,132,-83,40,-94,,
1697183111,MACOS,Airport,,,,NOKIA-F953,dc:8d:8a:9e:f9:5d,,2.4GHz,161,-86,80,-96,,
1697183111,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:5b:15:34,,2.4GHz,64,-88,40,-94,,
1697183111,MACOS,Airport,,,,CFEH_Boardroom,00:04:56:ae:2b:91,,5GHz,11,-76,20,-93,,
1697183111,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:5b:89:3c,,2.4GHz,64,-91,40,-92,,
1697183111,MACOS,Airport,,,,uniwide,08:cc:68:b4:c4:81,,5GHz,6,-86,20,-93,,
1697183111,MACOS,Airport,,,,eduroam,1c:e6:c7:5b:32:1f,,2.4GHz,64,-80,40,-93,,
1697183111,MACOS,Airport,,,,Global_Students,a0:0f:37:4c:54:4b,,2.4GHz,132,-80,40,-95,,
1697183111,MACOS,Airport,,,,eduroam,1c:e6:c7:5b:15:3f,,2.4GHz,64,-86,40,-94,,
1697183111,MACOS,Airport,,,,Global_Students,d0:c7:89:67:82:b3,,2.4GHz,52,-90,40,-96,,
1697183111,MACOS,Airport,,,,AT_401_RAC_056905_WW_1ece,26:e8:53:38:1e:ce,,5GHz,11,-91,20,-93,,
1697183111,MACOS,Airport,,,,uniwide,a0:0f:37:4c:93:2e,,2.4GHz,112,-86,40,-94,,
1697183111,MACOS,Airport,,,,eduroam,d0:c7:89:67:82:b7,,2.4GHz,52,-90,40,-96,,
1697183111,MACOS,Airport,,,,Global_Students,08:cc:68:b4:a6:7b,,2.4GHz,64,-76,40,-93,,
1697183111,MACOS,Airport,,,,uniwide,08:cc:68:b5:d3:2e,,2.4GHz,56,-84,40,-95,,
1697183111,MACOS,Airport,,,,uniwide,1c:e6:c7:f0:25:41,,5GHz,1,-63,20,-89,,
1697183111,MACOS,Airport,,,,UNSW Guest,5c:e1:76:0a:15:4d,,2.4GHz,132,-88,40,-91,,
1697183111,MACOS,Airport,,,,TP-LINK_666666,68:dd:b7:13:b7:65,,2.4GHz,36,-90,80,-97,,
1697183111,MACOS,Airport,,,,NetComm 5798,d0:db:b7:9c:0d:e4,,2.4GHz,149,-87,80,-96,,
1697183111,MACOS,Airport,,,,uniwide,1c:e6:c7:5b:15:36,,2.4GHz,64,-88,40,-94,,
1697183111,MACOS,Airport,,,,Global_Students,08:cc:68:b5:92:ab,,2.4GHz,112,-92,40,-93,,
1697183111,MACOS,Airport,,,,Global_Students,f0:9e:63:1c:b4:6c,,2.4GHz,36,-85,40,-97,,
1697183111,MACOS,Airport,,,,eduroam,7c:0e:ce:dc:5d:00,,5GHz,6,-83,20,-93,,
1697183111,MACOS,Airport,,,,ChinaNo.1,c2:82:35:be:bb:c2,,5GHz,6,-92,20,-93,,
1697183111,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:5b:32:13,,5GHz,6,-80,20,-93,,
1697183111,MACOS,Airport,,,,eduroam,58:97:1e:56:57:2f,,2.4GHz,64,-92,40,-92,,
1697183111,MACOS,Airport,,,,UNSW Guest,08:cc:68:b4:dc:1c,,2.4GHz,64,-85,20,-92,,
1697183111,MACOS,Airport,,,,uniwide,d0:72:dc:53:5d:4e,,2.4GHz,132,-87,40,-95,,
1697183111,MACOS,Airport,,,,uniwide,d0:c7:89:67:82:b6,,2.4GHz,52,-89,40,-96,,
1697183111,MACOS,Airport,,,,Global_Students,d0:72:dc:53:5d:44,,5GHz,11,-65,20,-93,,
1697183111,MACOS,Airport,,,,Global_Students,20:3a:07:e4:c0:43,,2.4GHz,132,-90,40,-91,,
1697183111,MACOS,Airport,,,,uniwide,7c:0e:ce:dc:5d:01,,5GHz,6,-86,20,-93,,
1697183111,MACOS,Airport,,,,UNSW Guest,f0:9e:63:1d:d2:ed,,2.4GHz,44,-92,40,-96,,
1697183111,MACOS,Airport,,,,CFEH_Staff,00:04:56:ae:43:50,,2.4GHz,149,-81,80,-96,,
1697183111,MACOS,Airport,,,,eduroam,1c:e6:c7:5b:89:31,,5GHz,6,-84,20,-93,,
1697183111,MACOS,Airport,,,,eduroam,d0:72:dc:53:5d:40,,5GHz,11,-65,20,-93,,
1697183111,MACOS,Airport,,,,Global_Students,f0:9e:63:14:95:63,,5GHz,6,-87,20,-93,,
1697183111,MACOS,Airport,,,,UNSW Guest,f0:9e:63:14:66:8d,,2.4GHz,132,-89,40,-94,,
1697183111,MACOS,Airport,,,,uniwide,1c:e6:c7:f0:25:46,,2.4GHz,56,-78,40,-95,,
1697183111,MACOS,Airport,,,,uniwide,08:cc:68:b5:92:ae,,2.4GHz,112,-94,40,-93,,
1697183111,MACOS,Airport,,,,UNSW Guest,7c:0e:ce:dc:5d:02,,5GHz,6,-85,20,-93,,
1697183111,MACOS,Airport,,,,uniwide,20:3a:07:e4:c0:46,,2.4GHz,132,-89,40,-91,,
1697183111,MACOS,Airport,,,,uniwide,d0:72:dc:53:5d:41,,5GHz,11,-72,20,-90,129.94.8.23,17.638
1697183111,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:f0:1a:1c,,2.4GHz,64,-83,40,-92,,
1697183111,MACOS,Airport,,,,eduroam,1c:e6:c7:5b:30:1f,,2.4GHz,64,-87,40,-93,,
1697183111,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:60:c6,,2.4GHz,64,-88,40,-94,,
1697183111,MACOS,Airport,,,,UNSW Guest,20:3a:07:e4:c0:44,,2.4GHz,132,-89,40,-91,,
1697183111,MACOS,Airport,,,,uniwide,7c:0e:ce:de:4f:ce,,2.4GHz,112,-93,40,-94,,
1697183111,MACOS,Airport,,,,uniwide,1c:e6:c7:0d:57:4e,,2.4GHz,44,-89,40,-96,,
1697183111,MACOS,Airport,,,,CFEH_Staff,00:04:56:ad:68:10,,5GHz,1,-86,20,-93,,
1697183111,MACOS,Airport,,,,UNSW Guest,08:cc:68:b5:92:a3,,5GHz,11,-83,20,-93,,
1697183111,MACOS,Airport,,,,UNSW Guest,1c:e6:c7:5b:30:1c,,2.4GHz,64,-89,40,-92,,
