Time,OS,Network Interface,GPS Latitude,GPS Longitude,GPS Accuracy (meters),SSID,BSSID,Wi-Fi Standard,Frequency,Network Channel,Channel Width (in MHz),RSSI (in dBm),Noise Level (in dBm),Public IP Address,Network Delay (in ms)
1697081849,MACOS,Airport,,,,eduroam,d0:72:dc:53:63:3e,,2.4GHz,64,-87,40,-91,,
1697081849,MACOS,Airport,,,,UNSW Guest,a0:0f:37:4c:9f:8c,,2.4GHz,108,-81,40,-93,,
1697081849,MACOS,Airport,,,,eduroam,1c:e6:c7:3e:61:c6,,2.4GHz,36,-75,40,-92,,
1697081849,MACOS,Airport,,,,eduroam,a8:9d:21:5c:c2:f0,,5GHz,1,-73,20,-84,,
1697081849,MACOS,Airport,,,,TPW4G_UtYJ4H,b4:1c:30:be:92:4a,,5GHz,11,-76,20,-83,,
1697081849,MACOS,Airport,,,,Global_Students,a0:0f:37:4c:9f:8d,,2.4GHz,108,-80,40,-93,,
1697081849,MACOS,Airport,,,,eduroam,1c:e6:c7:5b:89:31,,5GHz,1,-65,20,-84,,
1697081849,MACOS,Airport,,,,uniwide,a0:0f:37:4c:7b:0f,,2.4GHz,100,-88,40,-94,,
1697081849,MACOS,Airport,,,,eduroam,1c:e6:c7:0d:6c:d0,,5GHz,6,-68,20,-85,,
1697081849,MACOS,Airport,,,,uniwide,a8:9d:21:5f:51:f0,,5GHz,6,-77,20,-85,,
1697081849,MACOS,Airport,,,,UNSW Guest,a0:0f:37:4c:09:ec,,2.4GHz,132,-80,40,-92,,
1697081849,MACOS,Airport,,,,Superloop-ShalomCollege-2.4ghz,84:18:3a:18:04:19,,5GHz,1,-81,20,-83,,
1697081849,MACOS,Airport,,,,Guest-Shalom,84:18:3a:98:d7:08,,5GHz,1,-73,20,-84,,
1697081849,MACOS,Airport,,,,Global_Students,08:cc:68:b4:af:4d,,2.4GHz,100,-70,40,-94,,
1697081849,MACOS,Airport,,,,uniwide,08:cc:68:b4:af:4f,,2.4GHz,100,-69,40,-94,129.94.8.23,5.034
1697081849,MACOS,Airport,,,,Warrane Staff,78:45:58:21:18:f3,,5GHz,6,-78,20,-85,,
1697081849,MACOS,Airport,,,,eduroam,08:cc:68:b4:af:4e,,2.4GHz,100,-69,40,-94,,
1697081849,MACOS,Airport,,,,Global_Students,1c:e6:c7:f1:ed:dd,,2.4GHz,149,-81,40,-93,,
1697081849,MACOS,Airport,,,,uniwide,a8:9d:21:5c:c2:f1,,5GHz,1,-74,20,-84,,
1697081849,MACOS,Airport,,,,uniwide,1c:e6:c7:3e:60:c7,,2.4GHz,64,-88,40,-95,,
1697081849,MACOS,Airport,,,,Global_Students,1c:e6:c7:5b:24:4d,,2.4GHz,52,-86,40,-93,,
1697081849,MACOS,Airport,,,,eduroam,1c:e6:c7:f1:ed:de,,2.4GHz,149,-80,40,-93,,
